Name,Type,Mag,Dist. / kpc,Constellation,R.A.,Rahours,Raminutes,Radeg,Decl.,Decdeg,Decmin,DeclDeg,RadRa,RadDec,Other names
NGC 983,Galaxy,13.9,65900,Triangulum,238,2,38,39.5,+34°37',34,37,34.61666667,0.689405055,0.604174809,
NGC 114,Galaxy,15,66100,Cetus,26,0,26,6.5,-01°47',-1,-47,-1.783333333,0.113446401,-0.031125038,Mrk 946
NGC 271,Galaxy,13.2,66900,Cetus,50,0,50,12.5,-01°54',-1,-54,-1.9,0.218166156,-0.033161256,
NGC 338,Galaxy,12.7,66900,Pisces,100,1,0,15,+30°40',30,40,30.66666667,0.261799388,0.535234304,
NGC 173,Galaxy,13.4,67050,Cetus,37,0,37,9.25,+01°56',1,56,1.933333333,0.161442956,0.033743032,
NGC 155,Galaxy,14.2,67100,Cetus,34,0,34,8.5,-10°45',-10,-45,-10.75,0.148352986,-0.187622895,
NGC 943,Galaxy,14.3,67200,Cetus,229,2,29,37.25,-10°49',-10,-49,-10.81666667,0.650135146,-0.188786447,
NGC 394,Galaxy,13.8,67300,Pisces,108,1,8,17,+33°08',33,8,33.13333333,0.296705973,0.578285759,
NGC 708,Galaxy,13.3,67300,Andromeda,152,1,52,28,+36°09',36,9,36.15,0.488692191,0.630936525,
NGC 205,Galaxy,8.2,674.5,Andromeda,40,0,40,10,+41°41',41,41,41.68333333,0.174532925,0.72751141,M 110
NGC 221,Galaxy,9,674.5,Andromeda,42,0,42,10.5,+40°51',40,51,40.85,0.183259571,0.712966999,"M 32, Arp 168"
NGC 224,Galaxy,3.4,674.5,Andromeda,42,0,42,10.5,+41°16',41,16,41.26666667,0.183259571,0.720239205,"Andromeda Galaxy, Andromeda A, M 31"
NGC 461,Galaxy,14.1,67400,Sculptor,117,1,17,19.25,-33°50',-33,-50,-33.83333333,0.335975881,-0.590503064,
NGC 273,Galaxy,12.9,67600,Cetus,50,0,50,12.5,-06°53',-6,-53,-6.883333333,0.218166156,-0.12013683,
NGC 529,Galaxy,12.1,67900,Andromeda,125,1,25,21.25,+34°42',34,42,34.7,0.370882466,0.60562925,
NGC 200,Galaxy,12.7,68100,Pisces,39,0,39,9.75,+02°53',2,53,2.883333333,0.170169602,0.05032366,
